year,us,china
1969,202677000,796025000
1974,213854000,900350000
1979,225055000,969005000
1984,235825000,1036825000
1989,246819000,1118650000
1994,263126000,1191835000
1999,279040000,1252735000
2004,292805298,1296075000
2009,306771529,1331260000
2014,318857056,1364270000
